image_filename,image_path,image_index,split,object_a_index,object_b_index,object_a_desc,object_b_desc,label,caption_a_front,caption_b_front,a_front_score,b_front_score,abs_front_gap,gap_bucket,a_pixel_x,a_pixel_y,a_pixel_z,b_pixel_x,b_pixel_y,b_pixel_z,a_3d_x,a_3d_y,a_3d_z,b_3d_x,b_3d_y,b_3d_z,a_size,b_size,a_color,b_color,a_material,b_material,a_shape,b_shape,clip_score_a_front,clip_score_b_front,clip_pred,clip_correct
CLEVR_val_000222.png,external/CLEVR_v1.0/images/val/CLEVR_val_000222.png,222,val,6,8,small blue rubber sphere,large blue rubber sphere,a_front,a 3D rendered scene where the small blue rubber sphere is in front of the large blue rubber sphere,a 3D rendered scene where the large blue rubber sphere is in front of the small blue rubber sphere,-0.3465746562245613,-3.8192198436660334,3.472645187441472,large,56,140,11.137173652648926,251,72,14.141190528869627,-2.8211774826049805,-2.715139150619507,0.3499999940395355,-2.6374881267547607,2.787184476852417,0.699999988079071,small,large,blue,blue,rubber,rubber,sphere,sphere,33.24228286743164,32.97886657714844,a_front,True
CLEVR_val_000104.png,external/CLEVR_v1.0/images/val/CLEVR_val_000104.png,104,val,0,2,large yellow metal cube,large cyan rubber sphere,b_front,a 3D rendered scene where the large yellow metal cube is in front of the large cyan rubber sphere,a 3D rendered scene where the large cyan rubber sphere is in front of the large yellow metal cube,-1.2689891168042615,0.0159105068177254,1.2848996236219872,medium,311,107,12.486226081848145,124,134,11.233036041259766,0.1753668487071991,2.135117530822754,0.699999988079071,-1.6184905767440796,-1.8848464488983152,0.699999988079071,large,large,yellow,cyan,metal,rubber,cube,sphere,31.534587860107422,31.742063522338867,b_front,True
CLEVR_val_000001.png,external/CLEVR_v1.0/images/val/CLEVR_val_000001.png,1,val,1,8,large blue rubber cylinder,small green metal cylinder,b_front,a 3D rendered scene where the large blue rubber cylinder is in front of the small green metal cylinder,a 3D rendered scene where the small green metal cylinder is in front of the large blue rubber cylinder,0.0917237060263005,1.2939916480710405,1.20226794204474,medium,419,128,11.159161567687988,133,180,9.97195529937744,2.56838321685791,2.8128368854522705,0.699999988079071,-0.4053439795970917,-2.4375929832458496,0.3499999940395355,large,small,blue,green,rubber,metal,cylinder,cylinder,32.69581985473633,31.948396682739258,a_front,False
CLEVR_val_000175.png,external/CLEVR_v1.0/images/val/CLEVR_val_000175.png,175,val,0,1,large purple rubber cube,large cyan rubber cube,b_front,a 3D rendered scene where the large purple rubber cube is in front of the large cyan rubber cube,a 3D rendered scene where the large cyan rubber cube is in front of the large purple rubber cube,-2.417914747510096,-0.6709232811817003,1.746991466328396,medium,221,92,13.55037784576416,137,118,12.03626537322998,-2.182973146438598,1.1745686531066897,0.699999988079071,-2.070307731628418,-1.3577457666397097,0.699999988079071,large,large,purple,cyan,rubber,rubber,cube,cube,33.34022521972656,33.271766662597656,a_front,False
CLEVR_val_000001.png,external/CLEVR_v1.0/images/val/CLEVR_val_000001.png,1,val,6,8,small cyan rubber cylinder,small green metal cylinder,a_front,a 3D rendered scene where the small cyan rubber cylinder is in front of the small green metal cylinder,a 3D rendered scene where the small green metal cylinder is in front of the small cyan rubber cylinder,3.0166608960189194,1.2939916480710405,1.722669247947879,medium,286,229,8.604046821594238,133,180,9.97195529937744,2.6561522483825684,-1.5428955554962158,0.3499999940395355,-0.4053439795970917,-2.4375929832458496,0.3499999940395355,small,small,cyan,green,rubber,metal,cylinder,cylinder,33.804298400878906,33.034297943115234,a_front,True
CLEVR_val_000152.png,external/CLEVR_v1.0/images/val/CLEVR_val_000152.png,152,val,7,8,small purple rubber cylinder,large red metal cylinder,a_front,a 3D rendered scene where the small purple rubber cylinder is in front of the large red metal cylinder,a 3D rendered scene where the large red metal cylinder is in front of the small purple rubber cylinder,2.7832835327895182,0.211887287151228,2.57139624563829,large,232,220,8.52172565460205,394,133,10.713696479797363,1.963516116142273,-1.9835551977157593,0.3499999940395355,2.221318244934082,2.230764389038086,0.699999988079071,small,large,purple,red,rubber,metal,cylinder,cylinder,29.352174758911133,28.138002395629883,a_front,True
CLEVR_val_000095.png,external/CLEVR_v1.0/images/val/CLEVR_val_000095.png,95,val,0,4,small gray rubber cylinder,small yellow rubber cube,b_front,a 3D rendered scene where the small gray rubber cylinder is in front of the small yellow rubber cube,a 3D rendered scene where the small yellow rubber cube is in front of the small gray rubber cylinder,-2.299670437935667,0.4542952310264425,2.7539656689621097,large,227,103,13.211265563964844,351,154,10.921133041381836,-1.8862911462783811,1.335466980934143,0.3499999940395355,1.8413270711898804,1.424580454826355,0.3499999940395355,small,small,gray,yellow,rubber,rubber,cylinder,cube,33.61701202392578,32.92649459838867,a_front,False
CLEVR_val_000196.png,external/CLEVR_v1.0/images/val/CLEVR_val_000196.png,196,val,1,9,small yellow rubber sphere,small yellow metal cube,a_front,a 3D rendered scene where the small yellow rubber sphere is in front of the small yellow metal cube,a 3D rendered scene where the small yellow metal cube is in front of the small yellow rubber sphere,-1.4154450851916636,-1.9132433939675249,0.4977983087758613,small,201,115,12.118467330932615,169,106,12.565747261047363,-1.677242398262024,0.2285225689411163,0.3499999940395355,-2.5980730056762695,-0.0715781226754188,0.3499999940395355,small,small,yellow,yellow,rubber,metal,sphere,cube,33.63139343261719,33.820045471191406,b_front,False
CLEVR_val_000172.png,external/CLEVR_v1.0/images/val/CLEVR_val_000172.png,172,val,5,7,small brown metal cube,small gray metal cube,a_front,a 3D rendered scene where the small brown metal cube is in front of the small gray metal cube,a 3D rendered scene where the small gray metal cube is in front of the small brown metal cube,0.5999954934440019,-0.5994598841020462,1.199455377546048,medium,245,159,10.018024444580078,59,133,11.046805381774902,0.5162340998649597,-0.3207347989082336,0.3499999940395355,-2.953442335128784,-2.481876850128174,0.3499999940395355,small,small,brown,gray,metal,metal,cube,cube,30.079519271850586,30.123214721679688,b_front,False
CLEVR_val_000020.png,external/CLEVR_v1.0/images/val/CLEVR_val_000020.png,20,val,0,1,large gray metal cube,large blue rubber cube,b_front,a 3D rendered scene where the large gray metal cube is in front of the large blue rubber cube,a 3D rendered scene where the large blue rubber cube is in front of the large gray metal cube,1.7332929361604306,4.1394792946798304,2.4061863585194,large,137,168,9.409281730651855,196,254,7.211551666259766,0.1600167900323867,-2.457007646560669,0.699999988079071,2.8798727989196777,-2.996509790420532,0.699999988079071,large,large,gray,blue,metal,rubber,cube,cube,34.745113372802734,35.65570831298828,b_front,True
