image_filename,object_a_desc,object_b_desc,label,gap_bucket,random_balanced_pred,random_balanced_correct,lower_pixel_y_pred,lower_pixel_y_correct,higher_pixel_y_pred,higher_pixel_y_correct,larger_object_pred,larger_object_correct,left_object_pred,left_object_correct,right_object_pred,right_object_correct
CLEVR_val_000222.png,small blue rubber sphere,large blue rubber sphere,a_front,large,a_front,True,a_front,True,b_front,False,b_front,False,a_front,True,b_front,False
CLEVR_val_000104.png,large yellow metal cube,large cyan rubber sphere,b_front,medium,b_front,True,b_front,True,a_front,False,b_front,True,b_front,True,a_front,False
CLEVR_val_000001.png,large blue rubber cylinder,small green metal cylinder,b_front,medium,a_front,False,b_front,True,a_front,False,a_front,False,b_front,True,a_front,False
CLEVR_val_000175.png,large purple rubber cube,large cyan rubber cube,b_front,medium,b_front,True,b_front,True,a_front,False,b_front,True,b_front,True,a_front,False
CLEVR_val_000001.png,small cyan rubber cylinder,small green metal cylinder,a_front,medium,a_front,True,a_front,True,b_front,False,a_front,True,b_front,False,a_front,True
CLEVR_val_000152.png,small purple rubber cylinder,large red metal cylinder,a_front,large,b_front,False,a_front,True,b_front,False,b_front,False,a_front,True,b_front,False
CLEVR_val_000095.png,small gray rubber cylinder,small yellow rubber cube,b_front,large,a_front,False,b_front,True,a_front,False,a_front,False,a_front,False,b_front,True
CLEVR_val_000196.png,small yellow rubber sphere,small yellow metal cube,a_front,small,b_front,False,a_front,True,b_front,False,b_front,False,b_front,False,a_front,True
CLEVR_val_000172.png,small brown metal cube,small gray metal cube,a_front,medium,a_front,True,a_front,True,b_front,False,a_front,True,b_front,False,a_front,True
CLEVR_val_000020.png,large gray metal cube,large blue rubber cube,b_front,large,b_front,True,b_front,True,a_front,False,b_front,True,a_front,False,b_front,True
CLEVR_val_000217.png,large green rubber sphere,large brown rubber sphere,a_front,large,a_front,True,a_front,True,b_front,False,a_front,True,b_front,False,a_front,True
CLEVR_val_000105.png,large brown rubber cube,small yellow rubber cube,b_front,medium,b_front,True,b_front,True,a_front,False,a_front,False,a_front,False,b_front,True
CLEVR_val_000102.png,large yellow metal sphere,small red rubber cube,b_front,medium,a_front,False,b_front,True,a_front,False,a_front,False,a_front,False,b_front,True
CLEVR_val_000071.png,small gray metal cylinder,small purple rubber cylinder,a_front,medium,b_front,False,a_front,True,b_front,False,b_front,False,a_front,True,b_front,False
CLEVR_val_000227.png,large yellow rubber cube,small purple rubber cylinder,b_front,large,a_front,False,b_front,True,a_front,False,a_front,False,b_front,True,a_front,False
CLEVR_val_000149.png,large purple metal sphere,large cyan rubber cube,b_front,large,b_front,True,b_front,True,a_front,False,b_front,True,a_front,False,b_front,True
CLEVR_val_000066.png,small green rubber cylinder,large blue rubber cube,b_front,large,a_front,False,b_front,True,a_front,False,b_front,True,a_front,False,b_front,True
CLEVR_val_000282.png,large purple metal sphere,small green metal sphere,a_front,large,b_front,False,a_front,True,b_front,False,a_front,True,a_front,True,b_front,False
CLEVR_val_000196.png,large cyan rubber sphere,large red rubber cube,b_front,medium,a_front,False,b_front,True,a_front,False,a_front,False,a_front,False,b_front,True
CLEVR_val_000101.png,small cyan metal cube,large cyan rubber cube,b_front,medium,b_front,True,b_front,True,a_front,False,b_front,True,a_front,False,b_front,True
CLEVR_val_000191.png,small green metal cube,small red rubber cylinder,a_front,large,a_front,True,a_front,True,b_front,False,a_front,True,b_front,False,a_front,True
CLEVR_val_000028.png,large brown rubber cube,small blue rubber cube,a_front,large,b_front,False,a_front,True,b_front,False,a_front,True,b_front,False,a_front,True
CLEVR_val_000130.png,large red rubber cylinder,small green rubber cylinder,a_front,medium,a_front,True,a_front,True,b_front,False,a_front,True,a_front,True,b_front,False
CLEVR_val_000171.png,small brown rubber cylinder,small purple rubber sphere,a_front,large,b_front,False,a_front,True,b_front,False,b_front,False,a_front,True,b_front,False
CLEVR_val_000181.png,small brown rubber sphere,small blue rubber sphere,a_front,medium,a_front,True,a_front,True,b_front,False,a_front,True,a_front,True,b_front,False
CLEVR_val_000185.png,small brown metal cube,large purple rubber sphere,a_front,large,b_front,False,a_front,True,b_front,False,b_front,False,b_front,False,a_front,True
CLEVR_val_000077.png,large blue metal sphere,small brown rubber sphere,a_front,large,a_front,True,a_front,True,b_front,False,a_front,True,a_front,True,b_front,False
CLEVR_val_000000.png,large brown rubber cylinder,small gray metal cube,b_front,large,b_front,True,b_front,True,a_front,False,a_front,False,a_front,False,b_front,True
CLEVR_val_000078.png,small purple metal cylinder,small gray metal cylinder,b_front,medium,a_front,False,b_front,True,a_front,False,a_front,False,b_front,True,a_front,False
CLEVR_val_000218.png,small red metal sphere,large green metal cube,a_front,medium,b_front,False,a_front,True,b_front,False,b_front,False,a_front,True,b_front,False
CLEVR_val_000112.png,large red metal cylinder,large gray metal cube,a_front,large,a_front,True,a_front,True,b_front,False,a_front,True,a_front,True,b_front,False
CLEVR_val_000195.png,large purple metal cube,small cyan rubber cube,a_front,large,b_front,False,a_front,True,b_front,False,a_front,True,b_front,False,a_front,True
CLEVR_val_000176.png,small gray rubber cylinder,large brown metal sphere,b_front,medium,a_front,False,b_front,True,a_front,False,b_front,True,a_front,False,b_front,True
CLEVR_val_000020.png,small cyan metal cube,large cyan metal sphere,a_front,medium,b_front,False,a_front,True,b_front,False,b_front,False,b_front,False,a_front,True
CLEVR_val_000240.png,large blue rubber cube,large cyan metal cube,a_front,large,a_front,True,a_front,True,b_front,False,a_front,True,a_front,True,b_front,False
CLEVR_val_000156.png,large green rubber cube,small red rubber cylinder,b_front,large,b_front,True,b_front,True,a_front,False,a_front,False,a_front,False,b_front,True
CLEVR_val_000114.png,small purple rubber cube,large blue rubber cylinder,a_front,large,a_front,True,a_front,True,b_front,False,b_front,False,b_front,False,a_front,True
CLEVR_val_000175.png,large gray rubber cube,small purple metal sphere,a_front,large,b_front,False,a_front,True,b_front,False,a_front,True,b_front,False,a_front,True
CLEVR_val_000160.png,large green metal cube,small gray rubber cylinder,b_front,large,a_front,False,b_front,True,a_front,False,a_front,False,b_front,True,a_front,False
CLEVR_val_000188.png,small brown metal cylinder,large gray metal cylinder,a_front,large,b_front,False,a_front,True,b_front,False,b_front,False,b_front,False,a_front,True
CLEVR_val_000198.png,large blue rubber sphere,small blue metal cylinder,b_front,small,a_front,False,b_front,True,a_front,False,a_front,False,b_front,True,a_front,False
CLEVR_val_000250.png,large purple metal sphere,small yellow metal cube,a_front,small,b_front,False,b_front,False,a_front,True,a_front,True,a_front,True,b_front,False
CLEVR_val_000227.png,large green metal cylinder,large gray metal cylinder,b_front,large,a_front,False,b_front,True,a_front,False,a_front,False,b_front,True,a_front,False
CLEVR_val_000278.png,large blue metal cube,small purple metal sphere,b_front,small,b_front,True,b_front,True,a_front,False,a_front,False,a_front,False,b_front,True
CLEVR_val_000239.png,large cyan rubber cylinder,large blue rubber cylinder,a_front,medium,a_front,True,a_front,True,b_front,False,a_front,True,b_front,False,a_front,True
CLEVR_val_000212.png,large blue rubber cylinder,large yellow metal cube,b_front,large,b_front,True,b_front,True,a_front,False,b_front,True,a_front,False,b_front,True
CLEVR_val_000273.png,large purple metal sphere,small yellow metal sphere,a_front,large,a_front,True,a_front,True,b_front,False,a_front,True,b_front,False,a_front,True
CLEVR_val_000237.png,small red rubber cylinder,large brown metal sphere,b_front,large,b_front,True,b_front,True,a_front,False,b_front,True,b_front,True,a_front,False
CLEVR_val_000076.png,large red rubber cube,large blue rubber cube,a_front,large,a_front,True,a_front,True,b_front,False,a_front,True,a_front,True,b_front,False
CLEVR_val_000170.png,large green metal cube,small purple rubber sphere,a_front,medium,b_front,False,a_front,True,b_front,False,a_front,True,b_front,False,a_front,True
CLEVR_val_000152.png,small blue rubber cube,small brown metal sphere,a_front,large,a_front,True,a_front,True,b_front,False,a_front,True,a_front,True,b_front,False
CLEVR_val_000161.png,small blue rubber cube,large cyan metal sphere,b_front,medium,b_front,True,b_front,True,a_front,False,b_front,True,a_front,False,b_front,True
CLEVR_val_000158.png,large purple rubber sphere,large gray rubber cube,a_front,small,a_front,True,a_front,True,b_front,False,a_front,True,a_front,True,b_front,False
CLEVR_val_000196.png,large cyan rubber sphere,small purple rubber cube,b_front,small,b_front,True,b_front,True,a_front,False,a_front,False,b_front,True,a_front,False
CLEVR_val_000047.png,small red metal cube,small cyan rubber sphere,a_front,small,a_front,True,a_front,True,b_front,False,a_front,True,a_front,True,b_front,False
CLEVR_val_000181.png,small blue rubber sphere,small brown metal cube,b_front,large,b_front,True,b_front,True,a_front,False,b_front,True,b_front,True,a_front,False
CLEVR_val_000228.png,small gray metal sphere,small yellow metal cylinder,b_front,large,a_front,False,b_front,True,a_front,False,a_front,False,a_front,False,b_front,True
CLEVR_val_000095.png,large yellow metal cylinder,large purple rubber cylinder,a_front,small,b_front,False,a_front,True,b_front,False,b_front,False,b_front,False,a_front,True
CLEVR_val_000081.png,small cyan metal sphere,small brown metal sphere,b_front,medium,a_front,False,b_front,True,a_front,False,a_front,False,b_front,True,a_front,False
CLEVR_val_000131.png,small brown metal cube,small gray rubber cube,b_front,medium,b_front,True,b_front,True,a_front,False,b_front,True,b_front,True,a_front,False
CLEVR_val_000234.png,large purple rubber cube,large gray metal cube,b_front,large,a_front,False,b_front,True,a_front,False,a_front,False,a_front,False,b_front,True
CLEVR_val_000209.png,small cyan metal cylinder,small cyan rubber sphere,a_front,large,b_front,False,a_front,True,b_front,False,b_front,False,b_front,False,a_front,True
CLEVR_val_000111.png,small yellow metal cube,large cyan metal sphere,b_front,large,a_front,False,b_front,True,a_front,False,b_front,True,a_front,False,b_front,True
CLEVR_val_000157.png,small cyan rubber cube,large red rubber sphere,a_front,medium,b_front,False,a_front,True,b_front,False,b_front,False,a_front,True,b_front,False
CLEVR_val_000241.png,large green metal cube,small yellow rubber cube,b_front,large,a_front,False,b_front,True,a_front,False,a_front,False,a_front,False,b_front,True
CLEVR_val_000053.png,large brown rubber cylinder,small yellow metal cylinder,b_front,large,b_front,True,b_front,True,a_front,False,a_front,False,a_front,False,b_front,True
CLEVR_val_000057.png,small cyan metal sphere,large purple metal cube,a_front,small,a_front,True,a_front,True,b_front,False,b_front,False,b_front,False,a_front,True
CLEVR_val_000259.png,large brown rubber sphere,small blue rubber cylinder,b_front,large,b_front,True,b_front,True,a_front,False,a_front,False,b_front,True,a_front,False
CLEVR_val_000252.png,large red metal cube,small green rubber cube,a_front,large,a_front,True,a_front,True,b_front,False,a_front,True,a_front,True,b_front,False
CLEVR_val_000156.png,small green rubber cylinder,small purple metal sphere,a_front,medium,b_front,False,a_front,True,b_front,False,b_front,False,a_front,True,b_front,False
CLEVR_val_000126.png,small yellow metal cylinder,small red metal cube,b_front,large,a_front,False,b_front,True,a_front,False,a_front,False,b_front,True,a_front,False
CLEVR_val_000217.png,small red metal cube,small cyan metal cube,a_front,large,b_front,False,a_front,True,b_front,False,b_front,False,a_front,True,b_front,False
CLEVR_val_000100.png,small green rubber sphere,small red metal cube,a_front,small,a_front,True,a_front,True,b_front,False,a_front,True,a_front,True,b_front,False
CLEVR_val_000258.png,small cyan metal sphere,small gray metal sphere,a_front,large,b_front,False,a_front,True,b_front,False,b_front,False,b_front,False,a_front,True
CLEVR_val_000106.png,large green rubber cube,large blue metal cube,a_front,medium,a_front,True,a_front,True,b_front,False,a_front,True,a_front,True,b_front,False
CLEVR_val_000185.png,small brown metal cylinder,large red rubber cube,b_front,large,b_front,True,b_front,True,a_front,False,b_front,True,a_front,False,b_front,True
CLEVR_val_000283.png,small purple rubber cylinder,large brown metal cube,b_front,medium,a_front,False,b_front,True,a_front,False,b_front,True,a_front,False,b_front,True
CLEVR_val_000073.png,small blue rubber sphere,large red rubber sphere,a_front,large,b_front,False,a_front,True,b_front,False,b_front,False,b_front,False,a_front,True
CLEVR_val_000008.png,small gray metal sphere,large purple metal sphere,a_front,small,a_front,True,a_front,True,b_front,False,b_front,False,a_front,True,b_front,False
